"","PC1","PC2","PC3","tissue"
"GSM87058.cel.gz",71.7877771569313,50.2075716117466,-24.4044280390613,"cerebellum"
"GSM87064.cel.gz",63.1586892043565,56.1577836929183,-19.153898559154,"cerebellum"
"GSM87065.cel.gz",95.8939924067945,27.3942988873356,-11.7258350201633,"cerebellum"
"GSM87066.cel.gz",100.560731646576,24.6058520484557,0.708728590649094,"cerebellum"
"GSM87071.cel.gz",78.5658444817347,41.8407666975956,-25.1188673156635,"cerebellum"
"GSM87072.cel.gz",80.0230519953253,41.2578492322155,-12.5881301600663,"cerebellum"
"GSM87073.cel.gz",98.3851181255118,28.4757343977456,-8.38306154421392,"cerebellum"
"GSM87074.cel.gz",75.3126967921939,37.989533442781,-18.8848228735856,"cerebellum"
"GSM87075.cel.gz",94.7665281691001,23.616779334868,-3.58382743646195,"cerebellum"
"GSM87085.cel.gz",71.4065711040816,51.4170473355648,9.81588959543243,"cerebellum"
"GSM87086.cel.gz",84.0208108357189,33.8744294595169,-6.93661833004136,"cerebellum"
"GSM87087.cel.gz",97.1071630428874,24.0510281654349,-4.75299086026478,"cerebellum"
"GSM87088.cel.gz",75.2303914920182,53.8490726696887,-31.6081591444824,"cerebellum"
"GSM87089.cel.gz",97.1008568135137,27.6024356371329,0.073036175010939,"cerebellum"
"GSM87090.CEL.gz",95.7588757229535,29.3640777529123,-3.05933498425085,"cerebellum"
"GSM87091.cel.gz",92.0068234617802,29.7573317865131,-13.8119403280179,"cerebellum"
"GSM87092.cel.gz",90.6522319242505,40.6849599730266,-17.4722271892655,"cerebellum"
"GSM87093.cel.gz",112.51412681241,14.6909542262442,0.180058169819295,"cerebellum"
"GSM87094.cel.gz",83.426327468259,42.4279909925086,-8.08595642702823,"cerebellum"
"GSM87095.cel.gz",100.570940041938,25.6284529087547,-7.52459860813541,"cerebellum"
"GSM87096.cel.gz",74.7716597609237,46.368065073969,-8.9039425221257,"cerebellum"
"GSM87097.cel.gz",85.8492989706865,31.071521200678,-0.282399182345722,"cerebellum"
"GSM87098.cel.gz",68.0445084970946,51.7228384276932,-20.9311248506491,"cerebellum"
"GSM87099.cel.gz",100.2531455432,24.739535838426,-4.29139293964004,"cerebellum"
"GSM87100.cel.gz",83.4926603181403,50.0200413308605,-13.1652087946267,"cerebellum"
"GSM87101.cel.gz",95.5333627040174,28.858144779206,-8.80742922008439,"cerebellum"
"GSM87102.cel.gz",93.500645682006,25.7428577685718,-1.2504445592312,"cerebellum"
"GSM146778.CEL.gz",-2.99444235769413,-55.5363471718174,42.1091052278984,"kidney"
"GSM146779.CEL.gz",4.26085817922426,-107.762821802162,31.6200658755475,"kidney"
"GSM146781.CEL.gz",-1.83219228616794,-82.5806444095343,15.9513085316046,"kidney"
"GSM146782.CEL.gz",-11.8131960070103,-32.7562598621139,27.0890332986551,"kidney"
"GSM146783.CEL.gz",-4.91744157011288,-74.0367363933048,22.9422007388847,"kidney"
"GSM146785.CEL.gz",6.09860126775958,-101.301560296025,31.7996203629359,"kidney"
"GSM146787.CEL.gz",13.8865246123814,-103.802026426101,33.9875427239599,"kidney"
"GSM146788.CEL.gz",-25.9517903338947,-57.3041740788371,14.1738641957504,"kidney"
"GSM146789.CEL.gz",-14.4835714893944,-28.8784689870398,32.795822091029,"kidney"
"GSM146791.CEL.gz",12.3698822836313,-96.4766852106469,20.5013857292654,"kidney"
"GSM146793.CEL.gz",17.4341696782287,-106.190533169563,32.9204205441547,"kidney"
"GSM146795.CEL.gz",-15.9181830790124,-71.5636664797151,20.6141931396793,"kidney"
"GSM146797.CEL.gz",-33.8792854026209,-37.6240609782807,-2.65803306045618,"kidney"
"GSM92240.CEL.gz",-43.7463583047282,-38.809549919706,-65.7643432582345,"colon"
"GSM92241.CEL.gz",-45.5866181727064,-30.2621330636714,-65.4118018346496,"colon"
"GSM92242.CEL.gz",-33.5462684640111,-42.9969316105273,-75.2173195233429,"colon"
"GSM92243.CEL.gz",-40.3542919375598,-29.0274640548637,-61.0220574279655,"colon"
"GSM92244.CEL.gz",-37.3014245255524,-46.8295012252731,-55.5597434716651,"colon"
"GSM92245.CEL.gz",-41.40184224783,-9.66088972447723,-64.0633876069026,"colon"
"GSM92247.CEL.gz",-34.8578574024671,-31.2624481925006,-72.1290737702689,"colon"
"GSM92248.CEL.gz",-32.4057166955067,-26.4307688142004,-83.5401332357419,"colon"
"GSM92249.CEL.gz",-44.0510067711495,0.840980021631521,-88.5390995897762,"colon"
"GSM92250.CEL.gz",-17.4950326091279,-48.256684272348,-73.7866248848769,"colon"
"GSM92253.CEL.gz",-34.0335135455595,-38.5280940991446,-76.0579722624015,"colon"
"GSM92254.CEL.gz",-36.5648100608822,-20.1142349493742,-59.7376083741862,"colon"
"GSM92255.CEL.gz",-32.3937072660024,-32.4642653136216,-85.0795526506801,"colon"
"GSM92256.CEL.gz",-49.2807940046689,18.6430632881237,-80.7130723748215,"colon"
"GSM92257.CEL.gz",-49.5626279246569,10.1755037317067,-76.1498817209972,"colon"
"GSM92258.CEL.gz",-22.4903348785844,-29.7479080345448,-68.2068960054927,"colon"
"GSM92259.CEL.gz",-27.8544177514212,-33.1473247785069,-74.464223984307,"colon"
"GSM92260.CEL.gz",-22.7210200108562,-20.0773489460897,-74.5354521205164,"colon"
"GSM92261.CEL.gz",-24.6490307395154,-36.7364036955472,-78.2239213054008,"colon"
"GSM92262.CEL.gz",-52.6712712760816,48.0194681265381,-81.1519137319801,"colon"
"GSM92263.CEL.gz",-20.3455024146634,-47.138671347296,-74.3281122100791,"colon"
"GSM92264.CEL.gz",-19.9736372246606,-21.4843571823474,-68.3375769092858,"colon"
"GSM92265.CEL.gz",-37.1726266185207,-14.9855480920373,-74.4226832616563,"colon"
"GSM92266.CEL.gz",-28.8304845703039,-50.113411873812,-66.5451421212716,"colon"
"GSM92267.CEL.gz",-43.302214853186,18.8217668894467,-62.832977111169,"colon"
"GSM92268.CEL.gz",-34.0082580141843,-18.9059936605427,-70.4812663946588,"colon"
"GSM92269.CEL.gz",-43.8907644895514,-40.0850398440217,-59.1817378012058,"colon"
"GSM92270.CEL.gz",-43.6041755705464,-25.3359507967105,-64.2499749249542,"colon"
"GSM92271.CEL.gz",-31.8839049828821,-19.6003428363212,-83.242376473773,"colon"
"GSM92272.CEL.gz",-37.834320684985,-30.5309806991963,-59.0601375217621,"colon"
"GSM92273.CEL.gz",-41.7658246841658,-16.6436342592948,-76.0810327442127,"colon"
"GSM92274.CEL.gz",-39.0625649630821,-1.88030960460749,-75.5764111224209,"colon"
"GSM92275.CEL.gz",-35.921945119489,-3.89395349073837,-63.4709769774003,"colon"
"GSM92276.CEL.gz",-39.0727416056385,9.73346976726131,-62.332293700696,"colon"
"GSM35979.cel.gz",-17.0478988585176,-10.7461775013925,-6.13823147273158,"kidney"
"GSM35980.cel.gz",-18.5019941474579,-8.19658650955414,-10.9841327917012,"kidney"
"GSM35981.cel.gz",-56.4614699453093,63.2059227875369,-30.1618893392441,"kidney"
"GSM35982.cel.gz",-78.4438783660856,46.3299160495453,9.92591800706076,"liver"
"GSM35983.cel.gz",-88.566126609151,62.6737134775327,10.1276807321016,"liver"
"GSM35984.cel.gz",-80.9028530268155,51.406225271037,7.93992038565316,"liver"
"GSM35991.cel.gz",-3.16409031861995,-46.5588438757069,4.39857242464297,"kidney"
"GSM35992.cel.gz",-14.0919607307578,-35.5172306813706,2.12574365832555,"kidney"
"GSM35993.cel.gz",2.35506797704547,-57.502338898169,10.2586342134077,"kidney"
"GSM35994.cel.gz",-50.7580990065349,-27.1401373908955,43.2976619853171,"liver"
"GSM35995.cel.gz",-98.7745450494836,32.5617181986272,46.4874148269991,"liver"
"GSM35996.cel.gz",-50.2136243594339,-36.5797218071032,47.7095273292379,"liver"
"GSM36003.cel.gz",-34.5689743075863,23.8284000040615,-25.3638022858339,"kidney"
"GSM44675.CEL.gz",-42.8124752256777,12.5927362889243,-27.4297831701799,"kidney"
"GSM44689.CEL.gz",34.7745700214121,72.7067672864142,-19.3387347194494,"cerebellum"
"GSM44697.CEL.gz",58.8931281104145,37.4730736196503,-9.96004263376502,"hippocampus"
"GSM44702.CEL.gz",-82.7635205890277,45.4999283839991,-3.15030369814172,"liver"
"GSM181429.CEL.gz",-52.3108528998829,-42.1982708751136,94.9767631783149,"liver"
"GSM181430.CEL.gz",-76.8309545046251,8.0299780403736,62.2649772470941,"liver"
"GSM181431.CEL.gz",-54.6412080370298,-41.237798716877,80.8149549657124,"liver"
"GSM181432.CEL.gz",-103.224179082743,52.6225304292659,72.5023822257872,"liver"
"GSM181433.CEL.gz",-102.881468476954,19.3376626505914,97.3186958221109,"liver"
"GSM18917.CEL.gz",-52.8112511942732,169.138885707389,-39.2656600853374,"cerebellum"
"GSM18918.CEL.gz",-59.5238406348395,171.337274515348,-45.2520845984794,"cerebellum"
"GSM18953.CEL.gz",-142.570854148298,170.342382110812,-34.1403978285816,"liver"
"GSM18954.CEL.gz",-153.550227419418,166.791963827866,-12.252824649592,"liver"
"GSM18955.CEL.gz",-123.014642053943,167.118409522872,-28.4715222270584,"kidney"
"GSM18956.CEL.gz",-105.964954621912,134.70265930008,-11.6116349572683,"kidney"
"GSM296875.CEL.gz",-26.5161423093072,-25.6393905670846,-34.8644352288519,"endometrium"
"GSM296876.CEL.gz",1.30129922358938,-39.5156068860577,-11.7941463816213,"endometrium"
"GSM296878.CEL.gz",-11.5512994901619,-53.5679937203446,-29.6377559606222,"endometrium"
"GSM296879.CEL.gz",-25.3616411163146,-14.8137918792474,-48.8004805346706,"endometrium"
"GSM296880.CEL.gz",-21.8678749818384,-41.3533996453914,-33.0787939567637,"endometrium"
"GSM296881.CEL.gz",-4.87472673820494,-45.667843936282,-26.0059736910501,"endometrium"
"GSM296882.CEL.gz",-28.3137383509292,-23.3427209989302,-32.3074232383167,"endometrium"
"GSM296883.CEL.gz",-27.5663689414129,-14.4551223236939,-43.2560688681345,"endometrium"
"GSM296886.CEL.gz",8.91978072851751,-56.6379552822012,-6.12674356836481,"endometrium"
"GSM296887.CEL.gz",-3.70897279132843,-42.2513367109226,-0.932957483028763,"endometrium"
"GSM296888.CEL.gz",-12.6378280213198,-5.03631373264058,-28.1981193122062,"endometrium"
"GSM296889.CEL.gz",23.3402006911673,-62.2003632641733,-1.59429862616894,"endometrium"
"GSM296890.CEL.gz",7.41803296983485,-44.6743540232625,-7.84082073172109,"endometrium"
"GSM296891.CEL.gz",-11.3650994855003,-56.1852226562813,-9.8928083179344,"endometrium"
"GSM296892.CEL.gz",-3.41738187101604,-57.8704658308402,-11.3303858861443,"endometrium"
"GSM298747.CEL.gz",-104.163636224939,24.4627003159542,88.0693911012185,"liver"
"GSM298748.CEL.gz",-98.2200527814587,24.0153206718617,87.2672691162474,"liver"
"GSM298749.CEL.gz",-104.451861518711,34.2889401777011,78.1414243403956,"liver"
"GSM298750.CEL.gz",-84.0190584178599,-13.2824884557177,108.996516568315,"liver"
"GSM299110.CEL.gz",-104.163636224939,24.4627003159542,88.0693911012185,"liver"
"GSM299111.CEL.gz",-104.451861518711,34.2889401777011,78.1414243403956,"liver"
"GSM299112.CEL.gz",-84.0190584178599,-13.2824884557177,108.996516568315,"liver"
"GSM299113.CEL.gz",-98.2200527814587,24.0153206718617,87.2672691162474,"liver"
"GSM299244.CEL.gz",-90.279986765661,17.5128653310732,83.72848265958,"liver"
"GSM299245.CEL.gz",-90.2865990003918,8.01137538762377,94.1385360050728,"liver"
"GSM299246.CEL.gz",-103.621355281208,48.4883270875521,80.5898259386107,"liver"
"GSM299247.CEL.gz",-103.113761145104,20.9614981865139,99.3842012515263,"liver"
"GSM322969.CEL.gz",24.4683020410437,-30.8155866362598,19.4580853352524,"cerebellum"
"GSM323054.CEL.gz",65.186024171988,-37.7114566641166,21.7810178969882,"cerebellum"
"GSM323523.CEL.gz",86.648539409727,-76.2741170306731,35.3743837106757,"cerebellum"
"GSM323524.CEL.gz",67.5050368087295,-63.8207705539298,29.3989580563414,"cerebellum"
"GSM323527.CEL.gz",50.1281620834586,-41.6614232451055,12.1086701282904,"cerebellum"
"GSM323565.CEL.gz",94.3209949626338,4.35123717168055,8.80528559480928,"cerebellum"
"GSM323566.CEL.gz",110.355462274745,-34.7350865342664,25.4215364414083,"cerebellum"
"GSM323567.CEL.gz",125.152314667723,-22.59816463474,29.1047093772616,"cerebellum"
"GSM246492.CEL.gz",0.098404583341928,-125.058542428776,-1.56668473936739,"placenta"
"GSM246493.CEL.gz",-8.60037311806987,-89.240818927564,-15.3647206119378,"placenta"
"GSM246494.CEL.gz",-39.2360400185786,-65.3145638551751,-13.114122901587,"placenta"
"GSM307639.CEL.gz",-63.9159386866412,-55.4662818725297,16.7912343608859,"placenta"
"GSM307640.CEL.gz",-81.371708813107,-21.664497409634,21.1911857717394,"placenta"
"GSM307641.CEL.gz",-91.7631594276156,-22.3912195389402,20.2621251009765,"placenta"
