"chr","chromStart","chromEnd","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","geneID","ReadsCount.input.Control","ReadsCount.IP.Control","ReadsCount.input.Treated","ReadsCount.IP.Treated","ModLog2FC_control","ModLog2FC_treated","DiffModLog2FC","pvalue","padj"
"chr9",127118651,127118926,"peak_36",0.26102151668029,"+",127118651,127118926,0,1,"275","0","100129034",61,291,66,124,2.38960079312706,2.53238727705298,0.0687399156111897,0.686984768361814,0.83449683518797
"chr9",127120501,127120726,"peak_37",1.34291094531421,"+",127120501,127120726,0,1,"225","0","100129034",21,206,51,103,3.49880483590963,2.85326900381517,-0.258674317166374,0.173436405965032,0.39422442096387
"chr9",127120901,127121001,"peak_38",0,"+",127120901,127121001,0,1,"100","0","100129034",15,66,22,54,2.30476185061341,3.01236207880631,0.162734925110224,0.275662313493818,NA
"chr9",127121201,127121351,"peak_39",0.265560966779039,"+",127121201,127121351,0,1,"150","0","100129034",15,98,31,39,3.41114800184189,3.1633567651535,-0.0512533789968284,0.682230889087264,0.831875211664878
"chr12",11324379,11324954,"peak_40",0.112230063750359,"+",11324379,11324954,0,1,"575","0","100129361",153,1632,197,463,4.12980999446514,4.09417227053149,-0.0268616089209315,0.853518259394635,0.925156883319039
"chr15",50646370,50646470,"peak_41",5.0761414171768,"+",50646370,50646470,0,1,"100","0","100129387",21,96,13,99,1.73011644798867,3.51007239205142,1.25886424433451,0.00396590761669024,0.0296434789654304
"chr15",50647820,50648045,"peak_42",0,"+",50647820,50648045,0,1,"225","0","100129387",12,91,9,34,3.30220620177802,4.12807320225224,0.143310038728365,0.28549934188035,NA
"chr1",155717981,155718131,"peak_43",0,"+",155717981,155718131,0,1,"150","0","100129405",15,134,13,34,3.21315823742223,2.80528095433125,-0.0756549576428624,0.572082632403267,NA
"chr1",155719408,155719799,"peak_44",0,"+",155719408,155719799,0,1,"391","0","100129405",5,48,5,13,3.43238258080157,3.10555356300464,-0.026057780627129,0.77225421462583,NA
"chr1",155720224,155720399,"peak_45",0,"+",155720224,155720399,0,1,"175","0","100129405",10,104,7,41,3.48519353290619,4.10665346566106,0.0874202448001149,0.468203535942837,NA
"chr10",43015260,43015310,"peak_46",0,"-",43015260,43015310,0,1,"50","0","100129482",3,56,6,17,5.00712929520131,4.60050411435509,-0.0305151526905565,0.731402039997882,NA
"chr10",43015160,43015210,"peak_47",0,"-",43015160,43015210,0,1,"50","0","100129482",3,55,15,12,4.9580147281866,2.83518429466712,-0.255542072651985,0.0593984295558276,NA
"chr10",43010735,43010910,"peak_48",0,"-",43010735,43010910,0,1,"175","0","100129482",4,74,23,31,4.98780868980797,3.51380149723945,-0.222987710626933,0.113853668650564,NA
"chr4",774761,774811,"peak_49",0,"-",774761,774811,0,1,"50","0","100129917",19,94,8,56,1.94797237080258,3.56444283409812,0.597155566123137,0.0263851764575532,NA
"chr4",774486,774636,"peak_50",0.0431004144806388,"-",774486,774636,0,1,"150","0","100129917",21,124,22,42,2.7900121535331,2.83171293043931,0.010626878896412,0.942641025361667,0.970566914006491
"chr4",7036922,7046802,"peak_51",0.0803251318283833,"-",7036922,7046802,0,1,"9880","0","100129931",94,972,124,450,3.50301420983219,3.47055902036306,-0.023964756252326,0.892615121128506,0.94584446321415
"chr4",7033730,7033930,"peak_52",1.32930735088302,"-",7033730,7033930,0,1,"200","0","100129931",88,411,57,166,1.90860951135752,2.3708745487113,0.258936600462253,0.176023744197151,0.397959259356858
"chr4",7032280,7032505,"peak_53",2.17306046121423,"-",7032280,7032505,0,1,"225","0","100129931",54,613,66,123,4.05643177067553,3.42905526738215,-0.387149456363835,0.068022445742349,0.221739783307128
"chrX",48681451,48681851,"peak_54",1.24351561920613,"+",48681451,48681851,0,1,"400","0","10013",179,1315,177,761,2.40512967986331,2.6690831922013,0.202299410556235,0.194759749826571,0.422342220120115
"chr16",90109702,90109952,"peak_55",0.544342400839391,"-",90109702,90109952,0,1,"250","0","100130015",58,618,57,319,3.14169413403227,3.38313182496421,0.126300684087006,0.464375817561552,0.685703884015176
"chr1",227916414,227920328,"peak_56",0.533496610952272,"+",227916414,227920328,0,1,"3914","0","100130093,116841",309,1990,273,759,2.29441358975177,2.17856962583036,-0.0948069808993708,0.472406336646465,0.690878245122702
"chr1",227935811,227946922,"peak_57",6.31629786581123,"+",227935811,227946922,0,1,"11111","0","100130093,116841",139,867,125,433,2.81116430735608,3.52779320140139,0.618126461093421,0.00127920427509127,0.0125488775297629
"chr1",227968356,227968406,"peak_58",3.78347985681618,"+",227968356,227968406,0,1,"50","0","100130093,116841",82,311,60,214,1.35796985302089,2.22378939828242,0.619214338630651,0.0131737820054759,0.072620473305186
"chr1",227968506,227968931,"peak_59",3.47034456594067,"+",227968506,227968931,0,1,"425","0","100130093,116841",115,1952,107,1013,4.1408450087663,4.66961275720227,0.426445945961171,0.0178643938511346,0.090224023500108
"chr18",77906056,77926707,"peak_60",6.1289977473157,"+",77906056,77926707,0,1,"20651","0","100130522",54,246,139,383,2.42953391135823,3.3950570913657,0.790815849551519,0.00153214555186928,0.0142885393341407
"chr2",178128216,178128266,"peak_61",0,"-",178128216,178128266,0,1,"50","0","100130691,4780",5,32,8,42,2.82073183749944,4.03043317744421,0.131369163757415,0.217207952194055,NA
"chr2",178096180,178096480,"peak_62",3.34705522869137,"-",178096180,178096480,0,1,"300","0","100130691,4780",214,710,365,449,2.15121502786399,2.58743535080404,0.364456823403716,0.0201874752594476,0.0982733993814151
"chr2",178095680,178095980,"peak_63",1.32253494439526,"-",178095680,178095980,0,1,"300","0","100130691,4780",183,678,457,442,2.63655044655614,2.89033646865036,0.201469787805349,0.177496957394924,0.399831780971803
"chr5",14713602,14714077,"peak_64",2.14719459374212,"+",14713602,14714077,0,1,"475","0","100130744",18,379,34,164,4.19203553664552,3.27326158832192,-0.398926494995893,0.0698986324237457,0.225751175690806
"chr5",14714427,14714727,"peak_65",0.36508620856273,"+",14714427,14714727,0,1,"300","0","100130744",10,181,6,56,4.26276331088482,4.70457493470479,0.0652643120102479,0.594269870603215,0.776422478317121
"chr12",58121008,58121233,"peak_66",2.45314122372016,"+",58121008,58121233,0,1,"225","0","100130776",111,600,74,358,1.66508289119675,2.22079068747629,0.391929289854631,0.0507313740498576,0.18261267070378
"chr12",58121633,58122033,"peak_67",0.744244431733596,"+",58121633,58122033,0,1,"400","0","100130776",126,1373,102,606,3.03480183198504,3.24344009459738,0.14902198724167,0.359560752583205,0.596980440263743
"chr12",58122083,58122133,"peak_68",3.34149680503863,"+",58122083,58122133,0,1,"50","0","100130776",35,115,19,62,1.67690948640018,2.97800313388966,0.695205411617164,0.0203413558762329,0.0986527580213563
"chr16",77228259,77228759,"peak_69",6.49569168900019,"+",77228259,77228759,0,1,"500","0","100130958,22879",108,1416,70,827,3.1651472160412,3.98616172707321,0.698371981876558,0.00109879268815483,0.011081586965154
"chr16",77232914,77233214,"peak_70",2.4586540880878,"+",77232914,77233214,0,1,"300","0","100130958,22879",63,492,105,179,3.14758533228038,2.54011933183373,-0.409631488266667,0.0504354425867551,0.181916197884384
"chr11",67085634,67155082,"peak_71",37.068081520488,"+",67085634,67155082,0,1,"69448","0","100130987",3635,15913,3701,7840,2.28608276912214,2.76907268600741,0.474390027346011,7.43990944619349e-14,6.94057706220858e-12
"chr1",160967925,160968075,"peak_72",1.19925391541785,"-",160967925,160968075,0,1,"150","0","100131187,50848",31,161,44,46,2.59176930754641,1.93562804672435,-0.227340729871856,0.20413577773524,0.435500440918812
"chr2",191373593,191373893,"peak_73",1.05318929764633,"-",191373593,191373893,0,1,"300","0","100131211",33,286,53,92,3.49469401657776,3.00602669175885,-0.215942440999091,0.24408006604567,0.4819016688594
"chrX",148564369,148564744,"peak_74",4.15993622961504,"-",148564369,148564744,0,1,"375","0","100131434,3423",63,502,316,1005,3.48141400539124,4.08085822171963,0.488639033527378,0.00928899405580113,0.0559415396209699
"chr19",59070677,59080355,"peak_75",1.02577203654476,"+",59070677,59080355,0,1,"9678","0","100131691",219,866,266,466,2.05935700506237,2.27785337905242,0.170381667220122,0.253544064486943,0.49114739879448
"chr19",59083268,59083318,"peak_76",0.847473804679614,"+",59083268,59083318,0,1,"50","0","100131691",44,201,64,93,2.05960532716197,1.65553767331361,-0.181482973551133,0.314997892977408,0.55575702907361
"chr16",22431691,22431766,"peak_77",0,"-",22431691,22431766,0,1,"75","0","100131998",14,117,8,23,3.14295447524251,3.00516047684267,-0.0213269300250898,0.864032201979187,NA
"chr16",22431366,22431416,"peak_78",0,"-",22431366,22431416,0,1,"50","0","100131998",9,113,7,23,3.37264523805279,2.61339487045167,-0.0957702691107768,0.400158754698912,NA
"chr16",22431291,22431341,"peak_79",0,"-",22431291,22431341,0,1,"50","0","100131998",12,173,8,34,3.44177571638355,2.7722505851521,-0.0967770308100358,0.42036193658478,NA
"chr16",22431116,22431266,"peak_80",1.41721031710289,"-",22431116,22431266,0,1,"150","0","100131998",13,221,10,33,4.10069046039457,3.07764372029698,-0.210591750111721,0.158580483564078,0.374435644134209
"chr21",9916449,9968533,"peak_81",11.2505038230142,"-",9916449,9968533,0,1,"52084","0","100132288",206,637,336,479,2.12477143579944,2.94082855190819,0.744916259640884,2.2718198943705e-05,0.000410450588737106
"chr21",9908313,9909177,"peak_82",0.654718544436962,"-",9908313,9909177,0,1,"864","0","100132288",45,518,47,336,2.98976854650872,3.28355946294165,0.148563625715665,0.401825606990509,0.635199400315852
"chr5",43066313,43066488,"peak_83",0,"-",43066313,43066488,0,1,"175","0","100132356",10,119,7,51,3.41171667202033,3.94213138966931,0.0788525084952428,0.521920797764527,NA
"chr1",144828767,144828967,"peak_84",0.465941723416729,"+",144828767,144828967,0,1,"200","0","100132406,100288142,149013",17,116,23,63,3.03615506725837,3.43572942815354,0.095768753722949,0.515649192639726,0.723998330968252
"chr1",145368665,145368965,"peak_85",0.0508481441666079,"+",145368665,145368965,0,1,"300","0","100132406,100288142,149013,388677",38,217,97,166,2.82810281892314,2.8589354300763,0.0160906081058727,0.931139936613353,0.965368632723098
"chr7",154736191,154736241,"peak_86",0,"+",154736191,154736241,0,1,"50","0","100132707",4,41,12,22,3.66853410425474,2.95380017743751,-0.0751147759940295,0.487229526084368,NA
"chr1",44170098,44172824,"peak_87",2.90078560792988,"-",44170098,44172824,0,1,"2726","0","100132774",224,740,235,387,1.83628115095441,2.27256434777369,0.353554009270518,0.0321842799200899,0.133898749478865
"chr7",76610263,76610463,"peak_88",0.367639723147429,"+",76610263,76610463,0,1,"200","0","100132832,441263",21,273,7,78,2.84529439781118,3.22138713792229,0.0745772115484057,0.591152955461006,0.775049455930091
"chr15",82708121,83023864,"peak_89",0.423572687241969,"+",82708121,83023864,0,1,"315743","0","100133144,100134869",12,119,23,71,3.95223854580599,4.33677828340559,0.0865470546652711,0.548345439612486,0.745575993324156
"chr6",26924946,26991126,"peak_90",1.4181480650047,"+",26924946,26991126,0,1,"66180","0","100133205",22,93,90,115,2.85401604675838,3.48819100472194,0.266611564234838,0.158235906832207,0.374192341052917
"chr21",37442689,37447259,"peak_91",16.485942628367,"-",37442689,37447259,0,1,"4570","0","100133286",524,2919,318,745,2.98393939847938,3.67447301728249,0.653855682680281,3.55987504420255e-07,1.08952390154111e-05
"chr7",27180107,27186805,"peak_92",3.58707320441601,"+",27180107,27186805,0,1,"6698","0","100133311",101,304,163,282,1.68603211475823,2.307777513342,0.480725057677231,0.0158498101807795,0.0832115034490923
"chr7",27186955,27191292,"peak_93",1.28055923631144,"+",27186955,27191292,0,1,"4337","0","100133311",15,88,26,104,2.52864021983595,3.29310439251246,0.22363102476476,0.186167641486591,0.411635914009592
"chrY",21154425,21154575,"peak_94",32.0738224344685,"-",21154425,21154575,0,1,"150","0","100133941",641,1892,883,1901,1.51462342468231,2.3580910318603,0.816886601346336,2.85013948216511e-12,2.21216426047727e-10
"chrY",21153900,21154275,"peak_95",21.8342307727525,"-",21153900,21154275,0,1,"375","0","100133941",1401,6163,2579,2982,2.91449466250015,3.33179905401373,0.406905725447572,5.98191267328011e-09,2.67449385973104e-07
"chr20",3092315,3131269,"peak_96",0.518499255666064,"+",3092315,3131269,0,1,"38954","0","100134015",366,2035,502,887,2.76794018245546,2.86219239187041,0.0808463049289722,0.482533280330699,0.698097642393519
"chr4",66535803,66536078,"peak_97",0.52636665828541,"+",66535803,66536078,0,1,"275","0","100144602",40,232,39,94,2.70955173560354,3.01582677215414,0.121731226361278,0.477679217834019,0.694301090115466
"chr5",434491,434616,"peak_98",0,"+",434491,434616,0,1,"125","0","10016,57491",0,50,2,62,5.83742665861512,5.13600459222869,-0.0447152313008858,0.667691692714674,NA
"chr5",434791,434841,"peak_99",0,"+",434791,434841,0,1,"50","0","10016,57491",1,45,0,38,4.54020742193625,5.87158040195249,0.0440629585500684,0.451785060851604,NA
"chr19",44103205,44103655,"peak_100",0.273789025297842,"+",44103205,44103655,0,1,"450","0","100170229,79177",82,852,55,244,3.410473159731,3.53681939354563,0.0715247255959554,0.672917965820397,0.827144318306029
"chr19",44118546,44118596,"peak_101",0,"+",44118546,44118596,0,1,"50","0","100170229,79177",16,98,20,35,2.69567737027332,2.29155873307225,-0.0902351680650638,0.533154452108545,NA
"chr6",41754720,41754870,"peak_102",0.665516110364496,"+",41754720,41754870,0,1,"150","0","100188893,29964",6,70,11,92,3.28405731919218,3.98456463800605,0.101892796562299,0.395680266884695,0.630463121910875
"chr6",41754970,41755020,"peak_103",0,"+",41754970,41755020,0,1,"50","0","100188893,29964",1,44,8,36,5.25138584325671,3.32515441187054,-0.122979783645638,0.168074245334617,NA
"chr6",41755070,41755145,"peak_104",0,"+",41755070,41755145,0,1,"75","0","100188893,29964",1,46,6,47,5.25399953596541,4.03502585048608,-0.0655755027246286,0.394070893236426,NA
"chr10",101687040,101715508,"peak_105",0.221897510750583,"+",101687040,101715508,0,1,"28468","0","100188954",60,266,73,75,2.69943697083124,2.56933042545853,-0.0588051098087101,0.72973169146635,0.857436946906447
"chr10",101716282,101716579,"peak_106",4.21223966382265,"+",101716282,101716579,0,1,"297","0","100188954",71,335,92,81,2.39111227166818,1.49579620842387,-0.665006959836185,0.00883592740667679,0.0539497594081675
"chr12",111886017,111886292,"peak_107",0.0520881870559265,"+",111886017,111886292,0,1,"275","0","10019",30,274,41,140,3.31026002538169,3.3476863013909,0.0148561303055996,0.929671655405914,0.964539223769952
"chr13",45963341,45963591,"peak_108",2.40216381317784,"+",45963341,45963591,0,1,"250","0","100190939",19,559,8,137,5.47186660801116,6.70885719719457,0.443900188944361,0.0535256107812848,0.189180617077745
"chr9",36236955,36246176,"peak_109",1.27484952646573,"-",36236955,36246176,0,1,"9221","0","10020",78,299,78,95,2.61077658017689,3.05239738288708,0.249167207297851,0.187295458966519,0.413268260835379
"chr9",36217163,36217438,"peak_110",0.804661836905888,"-",36217163,36217438,0,1,"275","0","10020",67,452,52,134,3.03570133522167,3.38530823121121,0.174703460225174,0.333422847666977,0.572496255861236
"chr10",99079971,99080346,"peak_111",0.210618105170403,"+",99079971,99080346,0,1,"375","0","10023",13,303,18,221,4.17692399939257,4.36492751085603,0.0489514075569111,0.743794495093922,0.864166910165381
"chr10",99080446,99080596,"peak_112",0,"+",99080446,99080596,0,1,"150","0","10023",3,62,13,41,4.48929230994896,3.2257704356928,-0.130095111050923,0.238788071767716,NA
"chr12",49723996,49724346,"peak_113",2.62424224974722,"+",49723996,49724346,0,1,"350","0","10024",66,609,65,156,3.10619790383415,2.4317309536202,-0.444347609690185,0.0425452307366898,0.162190109472442
"chr19",867961,868386,"peak_114",0.0384821125114721,"-",867961,868386,0,1,"425","0","10025",183,1293,121,583,1.9199535384306,1.90594452033198,-0.0100490396746625,0.947400030071526,0.973678835115765
"chrX",154293198,154293373,"peak_115",0,"-",154293198,154293373,0,1,"175","0","100272147,4515",11,58,13,33,2.78656708084401,3.56584447436063,0.130848068504459,0.31688887575421,NA
"chr12",50222786,50232324,"peak_116",0.0827101075760806,"+",50222786,50232324,0,1,"9538","0","100286844",19,124,54,96,3.21924547258834,3.29089400912641,0.0221628313576598,0.887878456262949,0.944282142363246
"chr12",50232499,50232674,"peak_117",0,"+",50232499,50232674,0,1,"175","0","100286844",10,70,18,47,3.03689731048798,3.28627931022667,0.0467054388539017,0.724380033682096,NA
"chr8",6263411,6263611,"peak_118",0,"-",6263411,6263611,0,1,"200","0","100287015",4,197,11,59,4.92330606814002,2.52848104259673,-1.30901775461453,0.0106823722850414,NA
"chr8",6262576,6263311,"peak_119",0.228576779826381,"-",6262576,6263311,0,1,"735","0","100287015",8,108,10,41,4.35645024984844,4.65605791732049,0.0419462882965801,0.723018222496482,0.853476432006432
"chr17",73268154,73268204,"peak_120",0,"+",73268154,73268204,0,1,"50","0","100287042",3,84,3,19,4.70310537160884,3.81951161793805,-0.0531185929324871,0.50832402608579,NA
"chr17",73268229,73268454,"peak_121",0,"+",73268229,73268454,0,1,"225","0","100287042",7,175,6,52,3.87631177856055,3.06200886629938,-0.103188732842504,0.364890922026291,NA
"chr17",73268979,73269104,"peak_122",0.949114950651184,"+",73268979,73269104,0,1,"125","0","100287042",29,168,12,40,2.65933945655587,3.32729091516796,0.175482497384419,0.276859335798384,0.517950111052048
"chr17",73269129,73269179,"peak_123",1.43946335206266,"+",73269129,73269179,0,1,"50","0","100287042",39,165,20,48,2.25213516699261,2.99939268729833,0.264794403315199,0.154253893354423,0.36870442801789
"chrX",102139334,102139459,"peak_124",0,"+",102139334,102139459,0,1,"125","0","100287765",8,87,6,21,3.7938757709224,3.96024037654205,0.0193356361271456,0.860772749683511,NA
"chr12",106901511,107168565,"peak_125",0.0431004144806388,"-",106901511,107168565,0,1,"267054","0","100287944",61,332,80,111,3.01624249339965,3.04171442080241,0.0124845397198791,0.942656362676063,0.970566914006491
"chr15",30916931,30918965,"peak_126",0.893576286665891,"+",30916931,30918965,0,1,"2034","0","100288637,89839",57,350,39,102,2.82307012400779,3.22497812027735,0.19013608272119,0.296409375953008,0.538278129152497
"chr2",36581891,36582322,"peak_127",9.29587333680504,"-",36581891,36582322,0,1,"431","0","100288911",61,252,39,124,2.4427685247927,3.91056247048033,1.27053910166566,0.000107737622866223,0.00159097475958614
"chr9",38595950,38596100,"peak_128",0,"-",38595950,38596100,0,1,"150","0","100289137,253650",8,84,6,15,4.17548684552974,4.37463518853605,0.0216003339043377,0.838495787171745,NA
"chr9",38595600,38595775,"peak_129",0,"-",38595600,38595775,0,1,"175","0","100289137,253650",10,72,9,22,3.62415522866918,4.34296285987527,0.0932367930264668,0.421517084797944,NA
"chr1",68298020,68421914,"peak_130",0.849361431912666,"+",68298020,68421914,0,1,"123894","0","100289178",43,147,80,82,2.48408560409165,2.8873380977788,0.185139019218782,0.313896835595514,0.555030350132956
"chr11",77884540,77885015,"peak_131",0.881059194276277,"+",77884540,77885015,0,1,"475","0","100289388",30,508,53,386,4.26688998874437,4.64780684633545,0.189018326537952,0.301257497456903,0.542968649512702
"chr7",102036562,102036762,"peak_132",0.311585095380642,"+",102036562,102036762,0,1,"200","0","100289561,100630923,79706",16,173,15,99,2.91620816143062,3.19970683999443,0.0699093607582484,0.636046627851229,0.805755985067959
"chr12",133519140,133519540,"peak_133",0.174544771515767,"-",133519140,133519540,0,1,"400","0","100289635",14,253,31,192,4.41763652100971,4.56183821658769,0.0451493639297582,0.779627504578304,0.886047058587488
"chr7",148959411,148963926,"peak_134",20.2270839724547,"+",148959411,148963926,0,1,"4515","0","100289678,155060",203,913,168,599,2.31248936122197,3.48106594219678,1.10232852131554,2.01553790880331e-08,8.14781199633737e-07
"chr7",148978780,148978855,"peak_135",2.69228844003109,"+",148978780,148978855,0,1,"75","0","100289678,155060",18,254,15,80,2.590682555524,1.35087456186307,-0.432956573269507,0.0398532313168659,0.154717850306704
"chr7",148978880,148979605,"peak_136",0.849361431912666,"+",148978880,148979605,0,1,"725","0","100289678,155060",89,1608,39,544,3.38609282150497,3.70061144959175,0.183097310406856,0.313762879699431,0.555030350132956
"chr7",148992179,148994221,"peak_137",6.15347449033731,"+",148992179,148994221,0,1,"2042","0","100289678,155060",209,937,176,499,2.15871010193542,2.8195267232762,0.571821338546707,0.00149083534504495,0.0140481650433991
"chr7",148994271,148994396,"peak_138",0.769538779524651,"+",148994271,148994396,0,1,"125","0","100289678,155060",20,111,40,102,2.65783019473074,3.13790092219709,0.152275330596853,0.348141771433251,0.586604978542098
